fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;color;fecha_ingestion
9/03/2017 19:05;10;627885941;-7557082024;Mujer;52;Soltero(a);Caminata;Hurto a persona;Descuido;No;No;Terminal de Transporte;#Inst_4;5;Terminal de transporte;Castilla;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 8:30;10;626996587;-7557275549;Hombre;52;Casado(a);Caminata;Hurto a persona;Descuido;Sin dato;No;Caribe;#0517;5;Vía pública;Castilla;Encomiendas;Otros elementos;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 1:00;10;620742408;-7557381358;Hombre;35;Soltero(a);Caminata;Hurto a persona;Descuido;Sin dato;No;Patio Bonito;#1421;14;Vía pública;Poblado;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 18:30;10;626183885;-7556156125;Mujer;18;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Prado;#1001;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 0:00;10;625090405;-7556922599;Hombre;64;Soltero(a);Caminata;Hurto a persona;Descuido;No;No;La Candelaria;#1019;10;Vía pública;Candelaria;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 9:30;10;626887759;-7560026016;Mujer;30;Soltero(a);Caminata;Hurto a persona;Atraco;De celular;Arma de fuego;Calasanz;#1202;12;Vía pública;Laureles;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 17:45;10;623553876;-7555060633;Hombre;42;Soltero(a);Caminata;Hurto a persona;Atraco;No;Arma de fuego;Cataluña;#0909;9;Vía pública;Buenos Aires;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 13:30;10;62540773;-7558289609;Hombre;22;Soltero(a);Caminata;Hurto a persona;Descuido;Sin dato;No;Suramericana;#1102;11;Vía pública;Laureles;Bicicleta;Vehículos de 2 o 4 ruedas;Vehículo;Sin dato;6/03/2025 4:07
9/03/2017 18:30;10;625007541;-7556836333;Mujer;47;Divorciado(a);Metro;Hurto a persona;Cosquilleo;De celular;No;La Candelaria;#1019;10;Estación del Metro;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 7:52;10;626478233;-7556914117;Hombre;20;Soltero(a);Autobus;Hurto a persona;Cosquilleo;Sin dato;No;Universidad de Antioquia;#Inst_11;4;Bus de servicio público;Aranjuez;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
