fecha_hecho,fecha_dt,anio,mes,hora,dia_semana,turno_dia,comuna,barrio,codigo_comuna,modalidad,tipo_conducta,arma,transporte_victima,bien_hurtado,categoria_bien,grupo_bien,lugar,sexo,edad,estado_civil,lat,lon,zona_riesgo
1/01/2017 16:00,2017-01-01 16:00:00,2017,1,16,Sunday,Tarde,Belén,La Loma de los Bernal,16.0,Descuido,No,No,Taxi,Computador,Tecnología,Mercancía,Vía pública,Mujer,29,Unión marital de hecho,6.21907115,-75.60299601,ALTO
1/01/2017 10:00,2017-01-01 10:00:00,2017,1,10,Sunday,Mañana,La Candelaria,La Candelaria,10.0,Atraco,De celular,Arma cortopunzante,Caminata,Cédula,Documentos,Mercancía,Vía pública,Hombre,39,Unión marital de hecho,6.24968051,-75.56807902,ALTO
1/01/2017 13:00,2017-01-01 13:00:00,2017,1,13,Sunday,Tarde,Manrique,Campo Valdés No.2,3.0,Atraco,De celular,Objeto contundente,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,64,Soltero(a),,,BAJO
1/01/2017 8:00,2017-01-01 08:00:00,2017,1,8,Sunday,Mañana,Aranjuez,San Pedro,4.0,Atraco,De celular,Arma de fuego,Motocicleta,Celular,Tecnología,Mercancía,Vía pública,Hombre,35,Unión marital de hecho,,,MEDIO
1/01/2017 14:50,2017-01-01 14:50:00,2017,1,14,Sunday,Tarde,San Javier,San Javier No.1,13.0,Atraco,De celular,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,18,Soltero(a),6.25557319,-75.61963477,BAJO
1/01/2017 18:30,2017-01-01 18:30:00,2017,1,18,Sunday,Noche,La Candelaria,Prado,10.0,Descuido,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Fábrica o empresa,Hombre,28,Unión marital de hecho,6.26042576,-75.56208696,ALTO
2/01/2017 17:00,2017-01-02 17:00:00,2017,1,17,Monday,Tarde,El Poblado,La Aguacatala,14.0,Descuido,No,No,Caminata,Cédula,Documentos,Mercancía,Institución de educación superior,Hombre,40,Unión marital de hecho,6.19978188,-75.57856109,ALTO
2/01/2017 6:00,2017-01-02 06:00:00,2017,1,6,Monday,Mañana,Guayabal,Santa Fé,15.0,Rompimiento de ventana,No,No,Caminata,Sin dato electrodomésticos,Electrodomésticos,Mercancía,Vehículo particular,Hombre,32,Unión marital de hecho,6.22037769,-75.58258977,ALTO
2/01/2017 10:30,2017-01-02 10:30:00,2017,1,10,Monday,Mañana,La Candelaria,La Candelaria,10.0,Atraco,No,Arma cortopunzante,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Mujer,30,Soltero(a),6.24817169,-75.56945231,ALTO
2/01/2017 16:00,2017-01-02 16:00:00,2017,1,16,Monday,Tarde,La Candelaria,La Candelaria,10.0,Atraco,No,Arma cortopunzante,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,45,Unión marital de hecho,6.25251904,-75.56680157,ALTO
2/01/2017 17:00,2017-01-02 17:00:00,2017,1,17,Monday,Tarde,El Poblado,La Aguacatala,14.0,Descuido,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Institución de educación superior,Hombre,40,Unión marital de hecho,6.19978188,-75.57856109,ALTO
2/01/2017 21:00,2017-01-02 21:00:00,2017,1,21,Monday,Noche,El Poblado,San Lucas,14.0,Descuido,No especificado,No,Caminata,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,"Hotel, motel y hostal",Mujer,45,Soltero(a),6.18263587,-75.56731191,ALTO
2/01/2017 10:30,2017-01-02 10:30:00,2017,1,10,Monday,Mañana,La Candelaria,La Candelaria,10.0,Atraco,No,Arma cortopunzante,Caminata,Cédula,Documentos,Mercancía,Vía pública,Mujer,30,Soltero(a),6.24817169,-75.56945231,ALTO
2/01/2017 10:30,2017-01-02 10:30:00,2017,1,10,Monday,Mañana,Villa Hermosa,El Pinal,8.0,Atraco,A taxista,Arma de fuego,Taxi,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,36,Casado(a),6.24275379,-75.54836478,MEDIO
2/01/2017 14:00,2017-01-02 14:00:00,2017,1,14,Monday,Tarde,Laureles-Estadio,Suramericana,11.0,Descuido,De celular,No,Caminata,Celular,Tecnología,Mercancía,Parqueadero,Hombre,39,Unión marital de hecho,6.25587718,-75.58307257,ALTO
2/01/2017 18:45,2017-01-02 18:45:00,2017,1,18,Monday,Noche,La Candelaria,Villa Nueva,10.0,Atraco,No,Arma de fuego,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,43,Unión marital de hecho,6.25373085,-75.56447145,ALTO
2/01/2017 16:35,2017-01-02 16:35:00,2017,1,16,Monday,Tarde,Castilla,Terminal de Transporte,5.0,Descuido,De celular,No,Caminata,Celular,Tecnología,Mercancía,Terminal de transporte,Hombre,28,Casado(a),6.27920351,-75.57112867,ALTO
2/01/2017 11:50,2017-01-02 11:50:00,2017,1,11,Monday,Mañana,La Candelaria,San Benito,10.0,No especificado,No especificado,No,Caminata,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,Vía pública,Hombre,28,Soltero(a),6.25306162,-75.57254758,ALTO
2/01/2017 21:00,2017-01-02 21:00:00,2017,1,21,Monday,Noche,El Poblado,San Lucas,14.0,Descuido,No especificado,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,"Hotel, motel y hostal",Mujer,45,Soltero(a),6.18263587,-75.56731191,ALTO
2/01/2017 10:30,2017-01-02 10:30:00,2017,1,10,Monday,Mañana,Villa Hermosa,El Pinal,8.0,Atraco,A taxista,Arma de fuego,Taxi,Celular,Tecnología,Mercancía,Vía pública,Hombre,36,Casado(a),6.24275379,-75.54836478,MEDIO
2/01/2017 0:00,2017-01-02 00:00:00,2017,1,0,Monday,Madrugada,Belén,Granada,16.0,Atraco,No especificado,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,23,Soltero(a),6.23104859,-75.59152689,ALTO
2/01/2017 10:00,2017-01-02 10:00:00,2017,1,10,Monday,Mañana,Belén,La Palma,16.0,Descuido,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vehículo particular,Mujer,40,Unión marital de hecho,6.22905415,-75.60204651,ALTO
2/01/2017 21:15,2017-01-02 21:15:00,2017,1,21,Monday,Noche,Aranjuez,Parque Norte,4.0,Atraco,De celular,Arma de fuego,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,20,Soltero(a),6.27004003,-75.56623902,MEDIO
2/01/2017 18:35,2017-01-02 18:35:00,2017,1,18,Monday,Noche,Aranjuez,Universidad de Antioquia,4.0,Atraco,No especificado,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,17,Soltero(a),6.26737974,-75.57011919,MEDIO
2/01/2017 10:00,2017-01-02 10:00:00,2017,1,10,Monday,Mañana,Belén,La Palma,16.0,Descuido,No,No,Caminata,Cédula,Documentos,Mercancía,Vehículo particular,Mujer,40,Unión marital de hecho,6.22905415,-75.60204651,ALTO
2/01/2017 10:00,2017-01-02 10:00:00,2017,1,10,Monday,Mañana,Belén,La Palma,16.0,Descuido,No,No,Caminata,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,Vehículo particular,Mujer,40,Unión marital de hecho,6.22905415,-75.60204651,ALTO
2/01/2017 22:00,2017-01-02 22:00:00,2017,1,22,Monday,Madrugada,Aranjuez,Parque Norte,4.0,Atraco,No especificado,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,26,Soltero(a),,,MEDIO
2/01/2017 8:30,2017-01-02 08:30:00,2017,1,8,Monday,Mañana,Guayabal,Santa Fé,15.0,Atraco,A taxista,Arma de fuego,Taxi,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,22,Casado(a),6.22272947,-75.58425274,ALTO
2/01/2017 6:30,2017-01-02 06:30:00,2017,1,6,Monday,Mañana,La Candelaria,San Benito,10.0,Atraco,De celular,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,35,Soltero(a),6.25106645,-75.57143822,ALTO
2/01/2017 20:00,2017-01-02 20:00:00,2017,1,20,Monday,Noche,La Candelaria,La Candelaria,10.0,Atraco,De celular,Arma cortopunzante,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,19,Soltero(a),,,ALTO
2/01/2017 10:00,2017-01-02 10:00:00,2017,1,10,Monday,Mañana,Belén,La Palma,16.0,Descuido,No,No,Caminata,Licencia,Documentos,Mercancía,Vehículo particular,Mujer,40,Unión marital de hecho,6.22905415,-75.60204651,ALTO
2/01/2017 14:00,2017-01-02 14:00:00,2017,1,14,Monday,Tarde,Laureles-Estadio,Suramericana,11.0,Descuido,De celular,No,Caminata,Pasacintas,Tecnología,Mercancía,Parqueadero,Hombre,39,Unión marital de hecho,6.25587718,-75.58307257,ALTO
2/01/2017 19:20,2017-01-02 19:20:00,2017,1,19,Monday,Noche,La Candelaria,La Candelaria,10.0,Raponazo,No especificado,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,39,Unión marital de hecho,6.25256037,-75.56806829,ALTO
2/01/2017 0:00,2017-01-02 00:00:00,2017,1,0,Monday,Madrugada,Belén,Granada,16.0,Atraco,No especificado,Arma cortopunzante,Caminata,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,Vía pública,Mujer,23,Soltero(a),6.23104859,-75.59152689,ALTO
2/01/2017 16:30,2017-01-02 16:30:00,2017,1,16,Monday,Tarde,Belén,La Mota,16.0,Raponazo,De celular,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,19,Soltero(a),6.21479565,-75.59762023,ALTO
2/01/2017 16:35,2017-01-02 16:35:00,2017,1,16,Monday,Tarde,Castilla,Terminal de Transporte,5.0,Descuido,De celular,No,Caminata,Computador,Tecnología,Mercancía,Terminal de transporte,Hombre,28,Casado(a),6.27920351,-75.57112867,ALTO
2/01/2017 14:45,2017-01-02 14:45:00,2017,1,14,Monday,Tarde,Santa Cruz,La Francia,2.0,Cosquilleo,De celular,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,31,Unión marital de hecho,6.30059057,-75.55673864,BAJO
